TORCHFORT::WANDB: model: critic_0, step: 9, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 9, train_loss: 0.448291
TORCHFORT::WANDB: model: actor, step: 9, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 9, train_loss: -2.36403
TORCHFORT::WANDB: model: alpha, step: 9, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 10, train_loss: 0.0957082
TORCHFORT::WANDB: model: critic_0, step: 10, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 10, train_loss: 0.478526
TORCHFORT::WANDB: model: actor, step: 10, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 10, train_loss: -2.38023
TORCHFORT::WANDB: model: alpha, step: 10, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 11, train_loss: 0.0932187
TORCHFORT::WANDB: model: critic_0, step: 11, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 11, train_loss: 0.510591
TORCHFORT::WANDB: model: actor, step: 11, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 11, train_loss: -2.39144
TORCHFORT::WANDB: model: alpha, step: 11, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 12, train_loss: 0.0973885
TORCHFORT::WANDB: model: critic_0, step: 12, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 12, train_loss: 0.520968
TORCHFORT::WANDB: model: actor, step: 12, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 12, train_loss: -2.41306
TORCHFORT::WANDB: model: alpha, step: 12, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 13, train_loss: 0.0958278
TORCHFORT::WANDB: model: critic_0, step: 13, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 13, train_loss: 0.532615
TORCHFORT::WANDB: model: actor, step: 13, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 13, train_loss: -2.43425
TORCHFORT::WANDB: model: alpha, step: 13, train_lr: 0.0001
