TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1420.29
TORCHFORT::WANDB: model: rlwm, step: 9, reward_sum: 1420.29
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: rlwm, step: 10, reward_sum: 1445.55
TORCHFORT::WANDB: model: critic_0, step: 1, train_loss: 0.239641
TORCHFORT::WANDB: model: critic_0, step: 1, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 1, train_loss: -1.07883
TORCHFORT::WANDB: model: actor, step: 1, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 1, train_loss: -2.44709
TORCHFORT::WANDB: model: alpha, step: 1, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 2, train_loss: 0.224296
TORCHFORT::WANDB: model: critic_0, step: 2, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 2, train_loss: -1.07332
TORCHFORT::WANDB: model: actor, step: 2, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 2, train_loss: -2.54847
TORCHFORT::WANDB: model: alpha, step: 2, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 3, train_loss: 0.240098
TORCHFORT::WANDB: model: critic_0, step: 3, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 3, train_loss: -1.1106
TORCHFORT::WANDB: model: actor, step: 3, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 3, train_loss: -2.62472
TORCHFORT::WANDB: model: alpha, step: 3, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 4, train_loss: 0.229603
TORCHFORT::WANDB: model: critic_0, step: 4, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 4, train_loss: -1.16153
TORCHFORT::WANDB: model: actor, step: 4, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 4, train_loss: -2.66714
TORCHFORT::WANDB: model: alpha, step: 4, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 5, train_loss: 0.234259
TORCHFORT::WANDB: model: critic_0, step: 5, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 5, train_loss: -1.21144
TORCHFORT::WANDB: model: actor, step: 5, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 5, train_loss: -2.67819
TORCHFORT::WANDB: model: alpha, step: 5, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 6, train_loss: 0.227969
TORCHFORT::WANDB: model: critic_0, step: 6, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 6, train_loss: -1.21604
TORCHFORT::WANDB: model: actor, step: 6, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 6, train_loss: -2.69025
TORCHFORT::WANDB: model: alpha, step: 6, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 7, train_loss: 0.215602
TORCHFORT::WANDB: model: critic_0, step: 7, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 7, train_loss: -1.20151
TORCHFORT::WANDB: model: actor, step: 7, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 7, train_loss: -2.68724
TORCHFORT::WANDB: model: alpha, step: 7, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 8, train_loss: 0.227044
TORCHFORT::WANDB: model: critic_0, step: 8, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 8, train_loss: -1.1892
TORCHFORT::WANDB: model: actor, step: 8, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 8, train_loss: -2.67957
TORCHFORT::WANDB: model: alpha, step: 8, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 9, train_loss: 0.232513
TORCHFORT::WANDB: model: critic_0, step: 9, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 9, train_loss: -1.15701
TORCHFORT::WANDB: model: actor, step: 9, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 9, train_loss: -2.6737
TORCHFORT::WANDB: model: alpha, step: 9, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 10, train_loss: 0.224709
TORCHFORT::WANDB: model: critic_0, step: 10, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 10, train_loss: -1.12494
TORCHFORT::WANDB: model: actor, step: 10, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 10, train_loss: -2.66186
TORCHFORT::WANDB: model: alpha, step: 10, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 11, train_loss: 0.223328
TORCHFORT::WANDB: model: critic_0, step: 11, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 11, train_loss: -1.12144
TORCHFORT::WANDB: model: actor, step: 11, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 11, train_loss: -2.66217
TORCHFORT::WANDB: model: alpha, step: 11, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 12, train_loss: 0.238733
TORCHFORT::WANDB: model: critic_0, step: 12, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 12, train_loss: -1.11344
TORCHFORT::WANDB: model: actor, step: 12, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 12, train_loss: -2.66883
TORCHFORT::WANDB: model: alpha, step: 12, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 13, train_loss: 0.225695
TORCHFORT::WANDB: model: critic_0, step: 13, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 13, train_loss: -1.13726
TORCHFORT::WANDB: model: actor, step: 13, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 13, train_loss: -2.66731
TORCHFORT::WANDB: model: alpha, step: 13, train_lr: 0.0001
TORCHFORT::WANDB: model: critic_0, step: 14, train_loss: 0.210676
TORCHFORT::WANDB: model: critic_0, step: 14, train_lr: 0.001
TORCHFORT::WANDB: model: actor, step: 14, train_loss: -1.14774
TORCHFORT::WANDB: model: actor, step: 14, train_lr: 0.001
TORCHFORT::WANDB: model: alpha, step: 14, train_loss: -2.67502
TORCHFORT::WANDB: model: alpha, step: 14, train_lr: 0.0001
